,recon_loss,grad_loss,latent_reg_loss,total_loss
8751,0.008121720515191555,0.31948694586753845,0.0004631892079487443,0.3276091516017914
8752,0.008479694835841656,0.33827686309814453,0.00045710091944783926,0.3467569947242737
8753,0.008857895620167255,0.3214937150478363,0.00046163564547896385,0.3303520679473877
8754,0.008277728222310543,0.32974866032600403,0.0004686878528445959,0.33802685141563416
8755,0.009355688467621803,0.3246046006679535,0.00046563881915062666,0.33396077156066895
8756,0.005428112577646971,0.33837661147117615,0.00045728636905550957,0.3438051640987396
8757,0.004863906651735306,0.3128175437450409,0.0004578250227496028,0.3176819086074829
8758,0.007351200561970472,0.33306431770324707,0.0004667725879698992,0.34041598439216614
8759,0.006346376612782478,0.3211290240287781,0.00046381924767047167,0.3274758756160736
8760,0.006137468386441469,0.3326832056045532,0.00045541475992649794,0.3388211131095886
8761,0.004467589780688286,0.319738507270813,0.0004548609722405672,0.32420653104782104
8762,0.008030996657907963,0.33714210987091064,0.00046296895015984774,0.34517359733581543
8763,0.007954147644340992,0.33312317728996277,0.00046263064723461866,0.3410778045654297
8764,0.004617575090378523,0.32571154832839966,0.00045541697181761265,0.330329567193985
8765,0.0040371897630393505,0.3179682195186615,0.0004584002308547497,0.32200586795806885
8766,0.007673685438930988,0.3330591022968292,0.00046683603432029486,0.34073325991630554
8767,0.005402557086199522,0.325812965631485,0.0004625958390533924,0.3312160074710846
8768,0.0075593190267682076,0.330119788646698,0.0004538292996585369,0.33767956495285034
8769,0.004923719447106123,0.3256596326828003,0.0004581721732392907,0.3305838108062744
8770,0.009602643549442291,0.33886805176734924,0.0004669888876378536,0.34847116470336914
8771,0.009570609778165817,0.3275665044784546,0.00046093331184238195,0.3371375501155853
8772,0.0034636796917766333,0.32470792531967163,0.00045099540147930384,0.32817205786705017
8773,0.005427255295217037,0.3251763880252838,0.00045250949915498495,0.33060407638549805
8774,0.006897241808474064,0.3253069519996643,0.0004660228732973337,0.332204669713974
8775,0.004228960257023573,0.3136729896068573,0.0004625740693882108,0.31790241599082947
8776,0.00894403737038374,0.3261340856552124,0.00045041274279356003,0.33507856726646423
8777,0.004271391779184341,0.3120577335357666,0.00045144709292799234,0.31632956862449646
8778,0.010847344063222408,0.3248850405216217,0.0004630344919860363,0.3357328474521637
8779,0.009054247289896011,0.33182618021965027,0.000462424592114985,0.3408809006214142
8780,0.004908799193799496,0.32149407267570496,0.00045207864604890347,0.32640331983566284
8781,0.005494469311088324,0.3232263922691345,0.0004487762926146388,0.3287213146686554
8782,0.005398418288677931,0.3243548274040222,0.00045780965592712164,0.32975369691848755
8783,0.0036027065943926573,0.31570443511009216,0.00046085414942353964,0.3193075954914093
8784,0.007991261780261993,0.3279237151145935,0.00045491300988942385,0.3359154164791107
8785,0.0017660717712715268,0.31425970792770386,0.0004569895099848509,0.3160262405872345
8786,0.010074161924421787,0.3268513083457947,0.0004636785015463829,0.3369259536266327
8787,0.004839831497520208,0.3155234158039093,0.0004591025644913316,0.32036370038986206
8788,0.00998775940388441,0.32682177424430847,0.0004540826193988323,0.33680999279022217
8789,0.006933240685611963,0.3075551986694336,0.0004607645096257329,0.31448888778686523
8790,0.008566114120185375,0.3280230164527893,0.0004653477808460593,0.33658960461616516
8791,0.007974712178111076,0.30663856863975525,0.00045748124830424786,0.3146137297153473
